Common or trade name,Chemical formula,CAS No.,AR5 GWP (100 year), Rotatable Bond Count,Defined Bond Stereocenter Count ,m/z 2nd Highest,Complexity,XLogP3-AA,Hydrogen Bond Acceptor Count,Bond dissociation energy (eV),B.p(C),Molecular Weight (g/mol),Exact Mass (g/mol),Monoisotopic Mass (g/mol),Heavy Atom Count,Undefined Atom Stereocenter Count ,1H NMR Spectra,13C NMR Spectra,17O NMR Spectra,19F NMR Spectra,Total Peaks,m/z Top Peaks,m/z 3nd Highest
"R-123a, 1,2-DICHLOROTRIFLUOROETHANE",C2HF3Cl2,354-23-4,370,1,-2.29E-11,117,64,2.7,3,6.447186117,28,152.93,151.9407399,151.9407399,7,1,-1.085366699,339.9364312,36.7947276,-67,76,67,85
Halon-1201,CHBrF2,1511-62-2,376,-8.67E-11,1.16E-11,31,13.5,1.9,2,6.60110468,-14.5,130.92,129.92297,129.92297,4,-1.96E-11,11.75080943,757.0195546,38.76514866,-69,28,51,130
"R-234bb, 2,3-Dichloro-1,1,1,2-tetrafluoropropane",C3H2F4Cl2,149329-25-9,376,1,4.89E-12,319.7319269,101,2.8,4,6.559041298,24.36,184.94,183.9469681,183.9469681,9,1,3.862950817,155.8566408,40.06921319,-39.4679413,79.71898025,163.3363889,155.0905271
"R-133a, 2-Chloro-1,1,1-trifluoroethane",C2H2F3Cl,75-88-7,378,3.36E-11,1.73E-11,83,38.5,1.9,3,6.745575445,7.000000002,118.48,117.9797122,117.9797122,6,-6.27E-12,7.019575844,124.6,35.77214314,-72.5,46,118,120
HFE-338mmz1,CHF2OCH(CF3)2,26103–08–2,380,2,2.28E-11,-34.54793613,143,3.3,9,6.819794539,40.073,218.04,217.99779,217.99779,13,-2.26E-11,7.591223932,113.868829,36.07412132,48.49264304,35.48047275,91.88643937,0.328437859
"R-22B1, Bromodifluoromethane",CHF2Br,1511-62-2,404,-5.04E-11,2.13E-11,31,13.5,1.9,2,6.591681373,-114.6,130.92,129.92297,129.92297,4,6.98E-12,13.7698695,387.0309354,29.75172838,-69,28,51,130
"R-235cb, 1-Chloro-2,2,3,3,3-pentafluoropropane",C3H2F5Cl,422-02-6,410,1,2.19E-12,66.02025491,94.9,2.6,5,6.709653676,28,168.49,169.9765186,169.9765186,9,-3.60E-12,0.871327603,245.3300464,28.7123795,-84,85.29483638,92.46709582,253.983452
HFE-356pcc3,CH3OCF2CF2CHF2,160620-20-2,413,3,3.71E-12,51.12225897,133,2.4,7,6.633877184,36.459,182.02,182.0166337,182.0166337,11,-2.06E-12,4.725464852,201.5630628,34.43625487,-126.5429482,25.83232719,36.78877393,182.789382
"R-234aa, 2,2-Dichloro-1,1,3,3-tetrafluoropropane",C3H2F4Cl2,17705-30-5,464,2,1.17E-11,95.23291433,81.8,3.1,4,6.653824047,24.36,184.94,183.9469681,183.9469681,9,-1.13E-11,4.613253299,110.5839208,38.63354256,-43.88011771,73.25738152,96.43151001,91.02236264
HFE-236fa,CF3CH2OCF3,20193–67–3,487,1,3.00E-12,6.767579734,101,2.4,7,6.810937228,5,168.04,168.0009837,168.0009837,10,-4.49E-12,6.674565846,54.13445349,35.01479367,12.93142489,30.26386073,129.7395903,-10.33077002
"R-226cb, 1-chloro-1,1,2,2,3,3-hexafluoropropane (HCFC-226ca)",C3HF6Cl,422-55-9,509,2,4.61E-12,-23.08125113,120,3.1,6,6.490048608,16.74,186.48,185.9670967,185.9670967,10,-9.42E-12,7.030314882,194.341079,40.04520825,-16.81655812,35.29146659,4.018103464,81.75579672
"HCFC-124, R-124, 2-Chloro-1,1,1,2-tetrafluoroethane",CHClFCF3,2837-89-0,527,-9.92E-11,-5.41E-11,51,57.2,2.4,4,7.734858137,-12,136.47,135.9702904,135.9702904,7,1,5.73993498,453.1144916,33.727166,-82.5,31,67,31
HFE-338mcf2,CF3CF2OCH2CF3,156053–88–2,552,2,4.32E-12,-88.90359616,166,3.1,9,8.741691275,28,218.04,217.99779,217.99779,13,-9.40E-12,4.395096211,145.1991625,34.59020202,231.1843782,6.126189069,93.07350778,-149.6128134
"HFE-347mcc3 (HFE-7000), R-347mcc, HEPTAFLUORO-1-METHOXYPROPANE",CH3OCF2CF2CF3,375–03–1,575,2,-2.11E-11,28,159,2.6,8,6.565621922,34,200.05,200.0072119,200.0072119,12,-9.75E-12,7.040965299,563.6916729,32.59005371,-82,45,81,69
"R-143m, TRIFLUOROMETHYL METHYL ETHER (HFE-143a)",C2H3F3O,421-14-7,607,-8.05E-12,-1.03E-11,69.665535,38.5,1.3,4,6.827598768,-24,100.04,100.0135992,100.0135992,6,6.42E-12,4.551901386,-18.35729152,34.36595398,-63.5,28.01621265,155.6363696,-12.06677844
HFE-245fa2,CHF2OCH2CF3,1885–48–9,659,2,-3.14E-12,-1.932703494,76.8,2.1,6,6.726296168,28,150.05,150.0104055,150.0104055,9,1.45E-12,4.448689649,23.51801676,35.48187712,-76,12.8352658,64.3477942,71.2758842
"R-234cd, 1,1-Dichloro-1,2,2,3-tetrafluoropropane",C3H2F4Cl2,70192-63-1,665,2,1.42E-11,164.7246127,102,2.8,4,6.341538764,24.36,184.94,183.9469681,183.9469681,9,-1.18E-11,5.601235211,177.0790957,40.72234621,-41.74116355,67.11956211,93.54699696,123.6634797
"R-235da, 2-Chloro-1,1,1,3,3-pentafluoropropane (HCFC-235ea)",C3H2F5Cl,134251-06-2,667,1,5.88E-12,164.7787786,86.7,2.8,5,6.664618809,7.97,168.49,167.9765186,167.9765186,9,1,3.291923756,98.95374611,35.53467952,-98.65578162,63.78501098,118.8034681,169.5081445
HFC-32, CH2F2,75–10–5,675,1.20E-10,-1.22E-10,51.00000003,2.799999987,1,1.999999999,6.719207599,-51.7,52.023,52.01245639,52.01245639,2.999999999,2.93E-11,-0.858685569,109,58.36124581,-1.49999999,13,33.00000003,30.99999999
"HFC-245ca, R-245ca,  1,1,2,2,3-PENTAFLUOROPROPANE",C3H3F5,679–86–7,693,2,3.07E-12,83,68.1,2.1,5,6.577212164,25,134.05,134.0154909,134.0154909,8,1.16E-11,4.75,77.5,29.655314,-169.8069796,61,51,33
"R-234bc, 2-Dichloro-1,1,2,3-tetrafluoropropane",C3H2F4Cl2,149329-26-0,695,2,1.57E-11,268.4221126,106,2.8,4,6.561441344,24.36,184.94,183.9469681,183.9469681,9,1,2.993713714,197.7001013,38.23382839,-121.5833271,66.05555028,101.0601938,249.078246
"HFE-245cb2, R-245mc, PENTAFLUOROETHYL METHYL ETHER",CH3OCF2CF3,22410–44–2,708,1,1.09E-12,100.1594035,94.9,2,6,6.644989866,5.6,150.05,150.0104055,150.0104055,9,-7.81E-13,6.900232822,131.6677353,34.89893037,-87,38.9375844,140.6500948,22.45656801
HFE-143a,CH3OCF3,421–14–7,756,-5.28E-12,-1.01E-11,69.31867446,38.5,1.3,4,6.748010866,-24,100.04,100.0135992,100.0135992,6,9.15E-12,4.58252815,-22.1967995,34.60697,-63.5,27.97649488,152.3568195,-3.718576403
HCFC-141b,CH3CCl2F,1717-00-6,782,8.82E-12,2.48E-11,45,34.6,2.2,1,6.228175165,32,116.95,115.9595836,115.9595836,5,-2.13E-11,3.358605777,348.9848186,46.6671453,-45,56,81,61
"HFC-365mfc, R-365mfc, 1,1,1,3,3-Pentafluorobutane",CH3CF2CH2CF3,406–58–6,794,1,3.82E-12,58.20694047,91.6,2.7,5,6.701292973,40,148.07,148.031141,148.031141,9,-2.17E-12,4.884644085,174.6138296,41.8847126,-31.1970532,56.73253353,16.6647784,-0.793120562
"R-235ca, 1-Chloro-1,2,2,3,3-pentafluoropropane",C3H2F5Cl,28103-66-4,820,1,8.64E-12,172.6731382,86.7,2.8,5,6.467949323,7.97,168.49,167.9765186,167.9765186,9,1,3.629977035,102.5784211,35.77183587,-114.8479277,66.05654173,117.046208,187.8896775
"HFC-245fa, R-245fa, 1,1,1,3,3-Pentafluoropropane",CHF2CH2CF3, 460-73-1,858,1,-9.15E-14,-15.19593647,62.6,2.5,5,6.712740809,15.3,134.05,134.0154909,134.0154909,8,6.60E-13,5.77363333,110.7326895,37.04920663,-116.5,43.27252794,43.08910887,1.943435949
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",CH2FOCF2CF2H,37031–31–5,871,3,5.46E-12,-20.08241703,82.3,2.1,6,6.601532806,27.3,150.05,150.0104055,150.0104055,9,1.32E-12,4.63248413,118,32.62485132,-222.6337046,8.778930995,21.1305696,171.6285572
"R-245mf, DIFLUOROMETHYL 2,2,2-TRIFLUOROETHYL ETHER (HFE-245fa2)",C3H3F5O,1885-48-9,880,2,9.92E-13,-1.907128931,76.8,2.1,6,6.732164307,28,150.05,150.0104055,150.0104055,9,-3.38E-12,4.44643149,23.80110962,35.46410664,-76,12.83819426,64.5896005,70.66035837
HFE-329mcc2,CF3CF2OCF2CHF2,134769–21–4,919,3,2.66E-11,-122.691417,194,3.6,10,6.602306744,37.4,236.04,235.9883681,235.9883681,14,-2.45E-11,9.175882568,277.9421999,38.86000274,41.93860306,5.853172414,-44.00748507,85.71972828
"R-244fb, 1-Chloro-1,1,3,3-tetrafluoropropane",C3H3F4Cl,2730-64-5,976,2,3.02E-12,-9.972590933,71.7,2.8,4,6.540337542,11.95,150.5,149.9859404,149.9859404,8,-1.53E-12,4.043187313,140.4839388,37.62113677,-134.8048227,52.37654515,-2.126723362,136.0723567
HFE-236ea2 (Desflurane),CHF2OCHFCF3,57041–67–5,989,2,1.64E-12,69,97.7,2.6,7,6.638147559,23,168.04,168.0009837,168.0009837,10,1,2.15181382,-76.81874847,34.06718611,-85,21,51,149
